bandgap,wl,pero,si
1.5,300,0.0402198352531712,1.72781970534545e-10
1.5,310,0.06775696143324,7.89282490917968e-10
1.5,320,0.104277493779134,1.4114382473192601e-09
1.5,330,0.137750136525826,2.06763834793872e-09
1.5,340,0.161839289842809,4.248752680018141e-09
1.5,350,0.205264220470542,8.79679764597318e-09
1.5,360,0.2781622835575,1.53852594576476e-08
1.5,370,0.367246938170915,2.31463592014533e-08
1.5,380,0.461010124175137,2.64646622717255e-08
1.5,390,0.546128960005358,1.56203257348909e-08
1.5,400,0.615273810136537,9.0212102721264e-09
1.5,410,0.66279635815756,6.78516854726832e-09
1.5,420,0.686928529386056,7.49036801456507e-09
1.5,430,0.697185318611961,1.27731146119796e-08
1.5,440,0.702162602006268,3.31223929052669e-08
1.5,450,0.709120673085214,1.23872683483691e-07
1.5,460,0.722637696791356,5.95079065307203e-07
1.5,470,0.739847428838951,2.75481007327076e-06
1.5,480,0.756468644929352,1.27407691521801e-05
1.5,490,0.771802487224041,3.93334904245064e-05
1.5,500,0.789028572610598,8.24801695590897e-05
1.5,510,0.811118431551888,0.0001315916757882
1.5,520,0.834387585830122,0.0001608985232459
1.5,530,0.853019578070611,0.0001906846874298
1.5,540,0.863422027672092,0.0002408337008224
1.5,550,0.868041147248424,0.0003643121116828
1.5,560,0.869966392380529,0.000630326446196
1.5,570,0.871883597048058,0.0013149213199856
1.5,580,0.875983159076347,0.0030322265018428
1.5,590,0.879400405454319,0.0058224449814174
1.5,600,0.879917897249352,0.010070622031915
1.5,610,0.87778740321127,0.0161776831224377
1.5,620,0.873104825737379,0.0246401118888348
1.5,630,0.868522241696693,0.0353462247731832
1.5,640,0.864862977598312,0.0463625761082247
1.5,650,0.860418865671878,0.0580162129839374
1.5,660,0.855672180221357,0.0697880627023189
1.5,670,0.849157185030466,0.0825146733729537
1.5,680,0.838676194095069,0.0979967705393824
1.5,690,0.825430723465845,0.113874618519619
1.5,700,0.808243246391633,0.131974701503229
1.5,710,0.793214141437852,0.145468863863816
1.5,720,0.775672230619632,0.161377136227346
1.5,730,0.759442126909017,0.176960756903647
1.5,740,0.748556019646489,0.188318461970838
1.5,750,0.738459414442986,0.20019347148287
1.5,760,0.731566882789737,0.209692608464435
1.5,770,0.723610695489766,0.220696496643172
1.5,780,0.714867011356039,0.232293524388539
1.5,790,0.707376606336397,0.241877695021104
1.5,800,0.700948134830402,0.249564848061917
1.5,810,0.68184096951024,0.269419165178848
1.5,820,0.628247681586287,0.323505747619534
